country_code,country,country_iso_code,oecd,fishstat_country,gleam_country,region,gleam_region,food_loss_region,wf_country_crops,wf_country_animals,notes,income_class
211,Switzerland,CHE,yes,Switzerland,Switzerland ,Europe,Western Europe,europe_incl_russia,Switzerland,Switzerland,,High income
212,Syrian Arab Republic,SYR,no,Syrian Arab Republic,Syrian Arab Republic,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Syrian Arab Republic,Syrian Arab Republic,,Low income
213,Turkmenistan,TKM,no,Turkmenistan,Turkmenistan,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Turkmenistan,Turkmenistan,,Upper middle income
214,"China, Taiwan Province of",TWN,no,Taiwan Province of China,"China, mainland",East Asia and Southeast Asia,East Asia and Southeast Asia,industrialized_asia,China,China,,High income
215,United Republic of Tanzania,TZA,no,"Tanzania, United Rep. of",United Republic of Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,"Tanzania, United Republic of","Tanzania, United Rep of",,Lower middle income
216,Thailand,THA,no,Thailand,Thailand,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Thailand,Thailand,,Upper middle income
217,Togo,TGO,no,Togo,Togo,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Togo,Togo,,Low income
218,Tokelau,TKL,no,Tokelau,Tokelau,Oceania,Oceania,n_america_and_oceania,Tokelau,Tokelau,,Unclassified
219,Tonga,TON,no,Tonga,Tonga,Oceania,Oceania,n_america_and_oceania,Tonga,Tonga,,Upper middle income
220,Trinidad and Tobago,TTO,no,Trinidad and Tobago,Trinidad and Tobago,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Trinidad and Tobago,Trinidad and Tobago,,High income
221,Oman,OMN,no,Oman,Oman,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Oman,Oman,,High income
222,Tunisia,TUN,no,Tunisia,Tunisia,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Tunisia,Tunisia,,Lower middle income
223,Turkey,TUR,yes,Turkey,Turkey,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Turkey,Turkey,,Upper middle income
224,Turks and Caicos Islands,TCA,no,Turks and Caicos Is.,Turks and Caicos islands,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,,,,High income
225,United Arab Emirates,ARE,no,United Arab Emirates,United Arab Emirates,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,United Arab Emirates,United Arab Emirates,,High income
226,Uganda,UGA,no,Uganda,Uganda,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Uganda,Uganda,,Low income
227,Tuvalu,TUV,no,Tuvalu,Tuvalu,Oceania,Oceania,n_america_and_oceania,Tuvalu,Tuvalu,,Upper middle income
229,United Kingdom of Great Britain and Northern Ireland,GBR,yes,United Kingdom,United Kingdom,Europe,Western Europe,europe_incl_russia,United Kingdom,United Kingdom,,High income
230,Ukraine,UKR,no,Ukraine,Ukraine,Europe,Eastern Europe,europe_incl_russia,Ukraine,Ukraine,,Lower middle income
231,United States of America,USA,yes,United States of America,United States of America,North America,North America,n_america_and_oceania,United States of America,United States of America,,High income
233,Burkina Faso,BFA,no,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Burkina Faso,Burkina Faso,,Low income
234,Uruguay,URY,no,Uruguay,Uruguay,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,Uruguay,Uruguay,,High income
235,Uzbekistan,UZB,no,Uzbekistan,Uzbekistan,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Uzbekistan,Uzbekistan,,Lower middle income
236,Venezuela (Bolivarian Republic of),VEN,no,"Venezuela, Boliv Rep of",Venezuela,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,"Venezuela, Bolivarian Republic of","Venezuela, Boliv Rep of",,Unclassified
237,Viet Nam,VNM,no,Viet Nam,Viet Nam,East Asia and Southeast Asia,East Asia and Southeast Asia,s_and_se_asia,Viet Nam,Viet Nam,,Lower middle income
238,Ethiopia,ETH,no,Ethiopia,Ethiopia,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Ethiopia,Ethiopia,,Low income
239,British Virgin Islands,VGB,no,British Virgin Islands,British Virgin Islands,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,,British Virgin Islands,,High income
240,United States Virgin Islands,VIR,no,United States Virgin Islands,United States Virgin Islands,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,,,,High income
243,Wallis and Futuna Islands,WLF,no,Wallis and Futuna Islands,Wallis and Futuna,Oceania,Oceania,n_america_and_oceania,Wallis and Futuna Islands,Wallis and Futuna Is,,Unclassified
244,Samoa,WSM,no,Samoa,Samoa,Oceania,Oceania,n_america_and_oceania,Samoa,Samoa,,Lower middle income
249,Yemen,YEM,no,Yemen,Yemen,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Yemen,Yemen,,Low income
250,Democratic Republic of the Congo,COD,no,"Congo, Dem. Rep. of the",Democratic Republic of the Congo,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,"Congo, Democratic Republic of","Congo, Dem Republic of",,Low income
251,Zambia,ZMB,no,Zambia,Zambia,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,Zambia,Zambia,,Lower middle income
252,Unspecified Area,,no,Unspecified Area,World,World,World,,Global Average,World Average,,Unclassified
255,Belgium,BEL,yes,Belgium,Belgium,Europe,Western Europe,europe_incl_russia,Belgium,Belgium,,High income
256,Luxembourg,LUX,yes,Luxembourg,Luxembourg,Europe,Western Europe,europe_incl_russia,Luxembourg,Luxembourg,,High income
258,Anguilla,AIA,no,Anguilla,Anguilla,Latin America and the Caribbean,Latin America and the Caribbean,latin_america,,,,Unclassified
259,Channel Islands,,no,Channel Islands,Jersey,Europe,Western Europe,europe_incl_russia,,," Islands off France in the English Channel; includes Jersey, Guernsey",Unclassified
264,Isle of Man,IMN,no,Isle of Man,Isle of Man,Europe,Western Europe,europe_incl_russia,,,Off the coast of England,High income
270,Mayotte,MYT,no,Mayotte,Mayotte,Sub-Saharan Africa,Sub-Saharan Africa,sub_saharan_africa,,,,Unclassified
272,Serbia,SRB,no,Serbia,Serbia,Europe,Western Europe,europe_incl_russia,Serbia and Montenegro,Serbia and Montenegro,,Upper middle income
273,Montenegro,MNE,no,Montenegro,Montenegro ,Europe,Western Europe,europe_incl_russia,Serbia and Montenegro,Serbia and Montenegro,,Upper middle income
276,Sudan,SDN,no,Sudan,Sudan,Near East and North Africa,Near East and North Africa,sub_saharan_africa,Sudan,Sudan,,Low income
277,South Sudan,SSD,no,South Sudan,South Sudan,Near East and North Africa,Near East and North Africa,sub_saharan_africa,,,iso-3 not included in full list (probably outdated); retrieved code from wikipedia,Low income
299,Occupied Palestinian Territory,PSE,no,Palestine,West Bank,Near East and North Africa,Near East and North Africa,n_africa_w_and_central_asia,Occupied Palestinian Territory,,Also includes Gaza Strip,Lower middle income
